shop,type,num_malls,num_outlets,malls
Aburi-EN,F&B,6,6,"Causeway Point, Jem, Jewel Changi Airport, Orchard Central, Suntec City, VivoCity"
An Acai Affair,F&B,6,6,"313@somerset, Jewel Changi Airport, Northpoint City, Sengkang Grand Mall, Waterway Point, Westgate"
Astons Specialities,F&B,6,6,"Bugis+ (Part of Bugis Town), Clarke Quay Central, Suntec City, Swing By @ Thomson Plaza, VivoCity, Westgate"
Awfully Chocolate,F&B,6,6,"ION Orchard, One Holland Village, Raffles City Shopping Centre, Square 2, Tampines 1, VivoCity"
BEUTEA,F&B,6,6,"Aperia Mall, Bugis Junction (Part of Bugis Town), City Square Mall, Junction 8, Northpoint City, Tiong Bahru Plaza"
Bottles & Bottles,F&B,6,6,"Great World, One Holland Village, PLQ Mall, Tampines 1, The Centrepoint, VivoCity"
Butter & Cream,F&B,6,6,"Causeway Point, Hougang Mall, Jewel Changi Airport, Jurong Point, Waterway Point, White Sands"
Canton Paradise,F&B,6,6,"Bedok Mall, City Square Mall, ION Orchard, Jem, Plaza Singapura, VivoCity"
Eighteen Plum,F&B,6,6,"AMK Hub, Bedok Mall, IMM Building, Junction 8, Plaza Singapura, Westgate"
Encik Tan,F&B,6,6,"Bedok Mall, IMM Building, Junction 10, Northpoint City, VivoCity, Waterway Point"
Fish & Co.,F&B,6,6,"AMK Hub, Causeway Point, Jewel Changi Airport, Jurong Point, Suntec City, Waterway Point"
Garrett Popcorn Shops,F&B,6,6,"313@somerset, Jurong Point, Raffles City Shopping Centre, Tampines Mall, VivoCity, Wisma Atria"
Greendot,F&B,6,6,"Bedok Mall, Junction 8, Jurong Point, Northpoint City, Tampines 1, Westgate"
HEYTEA,F&B,6,6,"ION Orchard, Jewel Changi Airport, Orchard Central, The Shoppes at Marina Bay Sands, VivoCity, Westgate"
I Love Taimei,F&B,6,6,"Bugis Junction (Part of Bugis Town), Junction 8, Northpoint City, Sengkang Grand Mall, Tampines 1, Waterway Point"
NiKU iKU,F&B,6,6,"Bugis Junction (Part of Bugis Town), Causeway Point, Hougang Mall, Lot One Shoppers' Mall, Tiong Bahru Plaza, Velocity@Novena Square"
Paradise Dynasty,F&B,6,6,"Funan, PLQ Mall, Suntec City, VivoCity, Westgate, Wisma Atria"
Qi Ji,F&B,6,6,"AMK Hub, Funan, Hougang 1, Jurong Point, Northpoint City, White Sands"
SWEE HENG 1989 Classic,F&B,6,6,"Hougang Mall, IMM Building, Lot One Shoppers' Mall, Northpoint City, Sengkang Grand Mall, White Sands"
Shake Shack,F&B,6,6,"Great World, Jewel Changi Airport, Junction 8, Suntec City, VivoCity, Westgate"
Tim Hortons,F&B,6,6,"313@somerset, City Square Mall, Jem, Jurong Point, Plaza Singapura, VivoCity"
Tongue Tip Lanzhou Beef Noodles,F&B,6,6,"Century Square, Jurong Point, Northpoint City, Suntec City, Tiong Bahru Plaza, Westgate"
Tun Xiang Hokkien Delights,F&B,6,6,"Bedok Mall, Jewel Changi Airport, Northpoint City, Square 2, Swing By @ Thomson Plaza, Wisma Atria"
Yew Kee Specialities,F&B,6,6,"AMK Hub, Jurong Point, Suntec City, Swing By @ Thomson Plaza, Tampines 1, VivoCity"
Yolé,F&B,6,6,"Causeway Point, Sengkang Grand Mall, Tampines Mall, United Square, Waterway Point, Westgate"
Zhang Liang Mala Tang,F&B,6,6,"Bedok Mall, Bugis Junction (Part of Bugis Town), Causeway Point, Jem, PLQ Mall, Tampines 1"
A-One Signature,F&B,5,5,"AMK Hub, HillV2, Jurong Point, Northpoint City, Tiong Bahru Plaza"
Ajumma's,F&B,5,5,"Funan, Northpoint City, PLQ Mall, Waterway Point, Westgate"
Bakery Cuisine,F&B,5,5,"Aperia Mall, Greenwich V, Jurong Point, Suntec City, The Centrepoint"
Baskin Robbins,F&B,5,5,"Bedok Mall, City Square Mall, Jurong Point, Northpoint City, One Holland Village"
Beard Papa’s,F&B,5,5,"Century Square, Great World, Northpoint City, Plaza Singapura, VivoCity"
Cat & the Fiddle,F&B,5,5,"City Square Mall, Junction 8, Northpoint City, Tampines 1, Westgate"
Eat 3 Bowls,F&B,5,5,"Causeway Point, Century Square, Jem, Square 2, White Sands"
Eat Pizza,F&B,5,5,"AMK Hub, IMM Building, PLQ Mall, Plaza Singapura, VivoCity"
Fragrance,F&B,5,5,"IMM Building, Northpoint City, Sengkang Grand Mall, Swing By @ Thomson Plaza, VivoCity"
Go-Ang Pratunam Chicken Rice,F&B,5,5,"Far East Square, Jem, Plaza Singapura, Suntec City, VivoCity"
Gokoku Japanese Bakery,F&B,5,5,"Great World, Jurong Point, Northpoint City, Tampines Mall, Wisma Atria"
Hot Tomato,F&B,5,5,"Bedok Mall, Causeway Point, Jewel Changi Airport, Jurong Point, Northpoint City"
Koo Kee,F&B,5,5,"AMK Hub, Hougang 1, Jem, Jurong Point, Tiong Bahru Plaza"
